country_code,country,year,avg_annual_wage,unit,price_base,pay_period
AUS,Australia,2003,59748.167,USD_PPP,Q,A
AUS,Australia,2002,58909.737,USD_PPP,Q,A
CAN,Canada,2009,62311.323,USD_PPP,Q,A
CAN,Canada,2008,61908.661,USD_PPP,Q,A
CAN,Canada,2010,62422.417,USD_PPP,Q,A
MEX,Mexico,2012,19539.082,USD_PPP,Q,A
AUS,Australia,2009,64406.029,USD_PPP,Q,A
ITA,Italy,2019,53572.199,USD_PPP,Q,A
ITA,Italy,2018,53306.5,USD_PPP,Q,A
ITA,Italy,2017,53246.292,USD_PPP,Q,A
ITA,Italy,2016,53589.312,USD_PPP,Q,A
ITA,Italy,2008,54044.753,USD_PPP,Q,A
AUS,Australia,2001,58378.557,USD_PPP,Q,A
AUS,Australia,2000,57806.507,USD_PPP,Q,A
CAN,Canada,2007,60840.573,USD_PPP,Q,A
CAN,Canada,2006,59258.083,USD_PPP,Q,A
CAN,Canada,2005,57506.9,USD_PPP,Q,A
CAN,Canada,2004,55892.446,USD_PPP,Q,A
CAN,Canada,2003,54710.38,USD_PPP,Q,A
CAN,Canada,2002,54693.461,USD_PPP,Q,A
CAN,Canada,2001,55137.869,USD_PPP,Q,A
CAN,Canada,2000,55365.75,USD_PPP,Q,A
AUS,Australia,2024,70736.187,USD_PPP,Q,A
AUS,Australia,2023,70422.098,USD_PPP,Q,A
CAN,Canada,2014,65442.989,USD_PPP,Q,A
CAN,Canada,2013,64599.0,USD_PPP,Q,A
CAN,Canada,2012,63921.863,USD_PPP,Q,A
CAN,Canada,2011,63173.717,USD_PPP,Q,A
AUS,Australia,2011,68914.944,USD_PPP,Q,A
AUS,Australia,2010,66705.582,USD_PPP,Q,A
DEU,Germany,2007,60353.389,USD_PPP,Q,A
DEU,Germany,2006,60537.007,USD_PPP,Q,A
DEU,Germany,2005,60548.73,USD_PPP,Q,A
DEU,Germany,2004,60330.633,USD_PPP,Q,A
DEU,Germany,2003,60338.681,USD_PPP,Q,A
DEU,Germany,2002,60138.883,USD_PPP,Q,A
DEU,Germany,2001,59787.697,USD_PPP,Q,A
DEU,Germany,2000,59354.424,USD_PPP,Q,A
FRA,France,2024,60608.014,USD_PPP,Q,A
FRA,France,2023,60140.542,USD_PPP,Q,A
FRA,France,2022,61156.437,USD_PPP,Q,A
FRA,France,2021,60900.747,USD_PPP,Q,A
FRA,France,2020,58590.773,USD_PPP,Q,A
FRA,France,2019,61631.808,USD_PPP,Q,A
FRA,France,2018,61041.792,USD_PPP,Q,A
FRA,France,2017,61120.078,USD_PPP,Q,A
FRA,France,2016,60284.45,USD_PPP,Q,A
FRA,France,2015,59600.312,USD_PPP,Q,A
FRA,France,2014,59043.357,USD_PPP,Q,A
FRA,France,2013,58637.643,USD_PPP,Q,A
FRA,France,2012,58139.541,USD_PPP,Q,A
FRA,France,2011,57763.65,USD_PPP,Q,A
FRA,France,2010,57867.381,USD_PPP,Q,A
FRA,France,2009,56721.996,USD_PPP,Q,A
FRA,France,2008,54973.952,USD_PPP,Q,A
FRA,France,2007,55079.217,USD_PPP,Q,A
FRA,France,2006,54878.616,USD_PPP,Q,A
FRA,France,2005,54272.509,USD_PPP,Q,A
FRA,France,2004,53626.317,USD_PPP,Q,A
AUS,Australia,2008,64995.647,USD_PPP,Q,A
ITA,Italy,2012,52332.384,USD_PPP,Q,A
ITA,Italy,2011,54047.93,USD_PPP,Q,A
ITA,Italy,2010,54924.154,USD_PPP,Q,A
ITA,Italy,2009,54458.768,USD_PPP,Q,A
MEX,Mexico,2011,19793.416,USD_PPP,Q,A
MEX,Mexico,2010,19315.622,USD_PPP,Q,A
MEX,Mexico,2009,20942.67,USD_PPP,Q,A
MEX,Mexico,2008,20972.835,USD_PPP,Q,A
MEX,Mexico,2007,21469.123,USD_PPP,Q,A
MEX,Mexico,2006,21698.447,USD_PPP,Q,A
MEX,Mexico,2005,21546.183,USD_PPP,Q,A
MEX,Mexico,2004,21723.603,USD_PPP,Q,A
MEX,Mexico,2003,22525.988,USD_PPP,Q,A
MEX,Mexico,2002,22247.714,USD_PPP,Q,A
MEX,Mexico,2001,22095.01,USD_PPP,Q,A
MEX,Mexico,2000,20612.173,USD_PPP,Q,A
KOR,Korea,2024,50946.72,USD_PPP,Q,A
KOR,Korea,2023,50313.68,USD_PPP,Q,A
KOR,Korea,2022,50671.795,USD_PPP,Q,A
KOR,Korea,2021,52412.095,USD_PPP,Q,A
KOR,Korea,2020,52298.597,USD_PPP,Q,A
KOR,Korea,2019,51122.939,USD_PPP,Q,A
KOR,Korea,2018,49425.225,USD_PPP,Q,A
KOR,Korea,2017,47779.484,USD_PPP,Q,A
KOR,Korea,2016,46681.35,USD_PPP,Q,A
KOR,Korea,2015,45352.307,USD_PPP,Q,A
KOR,Korea,2014,44125.622,USD_PPP,Q,A
KOR,Korea,2013,44034.29,USD_PPP,Q,A
KOR,Korea,2012,42949.364,USD_PPP,Q,A
KOR,Korea,2011,43590.135,USD_PPP,Q,A
KOR,Korea,2010,43026.011,USD_PPP,Q,A
KOR,Korea,2009,42361.053,USD_PPP,Q,A
KOR,Korea,2008,42142.402,USD_PPP,Q,A
KOR,Korea,2007,42268.439,USD_PPP,Q,A
KOR,Korea,2006,41373.508,USD_PPP,Q,A
KOR,Korea,2005,40847.315,USD_PPP,Q,A
KOR,Korea,2004,39625.005,USD_PPP,Q,A
KOR,Korea,2003,38750.671,USD_PPP,Q,A
KOR,Korea,2002,37369.791,USD_PPP,Q,A
KOR,Korea,2001,36127.43,USD_PPP,Q,A
KOR,Korea,2000,34917.22,USD_PPP,Q,A
JPN,Japan,2024,49445.911,USD_PPP,Q,A
JPN,Japan,2023,49173.069,USD_PPP,Q,A
JPN,Japan,2022,50458.369,USD_PPP,Q,A
JPN,Japan,2021,51137.748,USD_PPP,Q,A
JPN,Japan,2020,50712.225,USD_PPP,Q,A
JPN,Japan,2019,51098.125,USD_PPP,Q,A
JPN,Japan,2018,50604.706,USD_PPP,Q,A
JPN,Japan,2017,49777.928,USD_PPP,Q,A
JPN,Japan,2016,49740.502,USD_PPP,Q,A
JPN,Japan,2015,49205.864,USD_PPP,Q,A
JPN,Japan,2014,49496.878,USD_PPP,Q,A
JPN,Japan,2013,49936.622,USD_PPP,Q,A
JPN,Japan,2012,49644.884,USD_PPP,Q,A
JPN,Japan,2011,49616.592,USD_PPP,Q,A
JPN,Japan,2010,49375.434,USD_PPP,Q,A
JPN,Japan,2009,49529.637,USD_PPP,Q,A
JPN,Japan,2008,50164.902,USD_PPP,Q,A
JPN,Japan,2007,50390.78,USD_PPP,Q,A
JPN,Japan,2006,50222.681,USD_PPP,Q,A
JPN,Japan,2005,50397.427,USD_PPP,Q,A
JPN,Japan,2004,49163.656,USD_PPP,Q,A
JPN,Japan,2003,48584.03,USD_PPP,Q,A
JPN,Japan,2002,48458.482,USD_PPP,Q,A
JPN,Japan,2001,49492.671,USD_PPP,Q,A
JPN,Japan,2000,50109.108,USD_PPP,Q,A
ITA,Italy,2024,51018.982,USD_PPP,Q,A
ITA,Italy,2023,50514.489,USD_PPP,Q,A
ITA,Italy,2022,51949.802,USD_PPP,Q,A
ITA,Italy,2021,53317.266,USD_PPP,Q,A
ITA,Italy,2020,51015.812,USD_PPP,Q,A
AUS,Australia,2022,71109.992,USD_PPP,Q,A
AUS,Australia,2021,72716.686,USD_PPP,Q,A
MEX,Mexico,2017,19870.514,USD_PPP,Q,A
MEX,Mexico,2016,20027.502,USD_PPP,Q,A
MEX,Mexico,2015,20463.008,USD_PPP,Q,A
MEX,Mexico,2014,19825.837,USD_PPP,Q,A
MEX,Mexico,2013,19963.584,USD_PPP,Q,A
ITA,Italy,2015,53164.084,USD_PPP,Q,A
ITA,Italy,2014,52707.893,USD_PPP,Q,A
ITA,Italy,2013,52503.553,USD_PPP,Q,A
AUS,Australia,2020,71915.394,USD_PPP,Q,A
AUS,Australia,2019,70501.846,USD_PPP,Q,A
AUS,Australia,2018,69832.234,USD_PPP,Q,A
AUS,Australia,2017,69579.169,USD_PPP,Q,A
AUS,Australia,2016,69806.581,USD_PPP,Q,A
AUS,Australia,2015,69464.852,USD_PPP,Q,A
AUS,Australia,2014,69877.669,USD_PPP,Q,A
AUS,Australia,2013,69189.387,USD_PPP,Q,A
AUS,Australia,2012,69392.868,USD_PPP,Q,A
ITA,Italy,2007,54117.354,USD_PPP,Q,A
ITA,Italy,2006,54145.431,USD_PPP,Q,A
ITA,Italy,2005,53804.76,USD_PPP,Q,A
ITA,Italy,2004,53082.932,USD_PPP,Q,A
ITA,Italy,2003,52092.742,USD_PPP,Q,A
ITA,Italy,2002,52231.424,USD_PPP,Q,A
ITA,Italy,2001,52604.347,USD_PPP,Q,A
ITA,Italy,2000,52237.08,USD_PPP,Q,A
DEU,Germany,2024,69433.062,USD_PPP,Q,A
DEU,Germany,2023,68104.229,USD_PPP,Q,A
DEU,Germany,2022,68225.562,USD_PPP,Q,A
DEU,Germany,2021,69828.515,USD_PPP,Q,A
DEU,Germany,2020,69750.812,USD_PPP,Q,A
DEU,Germany,2019,70225.225,USD_PPP,Q,A
DEU,Germany,2018,69070.405,USD_PPP,Q,A
DEU,Germany,2017,68117.688,USD_PPP,Q,A
DEU,Germany,2016,67409.631,USD_PPP,Q,A
DEU,Germany,2015,66389.948,USD_PPP,Q,A
DEU,Germany,2014,64898.733,USD_PPP,Q,A
DEU,Germany,2013,63828.7,USD_PPP,Q,A
DEU,Germany,2012,63233.321,USD_PPP,Q,A
DEU,Germany,2011,62400.788,USD_PPP,Q,A
DEU,Germany,2010,61167.671,USD_PPP,Q,A
DEU,Germany,2009,60635.353,USD_PPP,Q,A
DEU,Germany,2008,60623.392,USD_PPP,Q,A
USA,United States,2024,82932.937,USD_PPP,Q,A
USA,United States,2023,82078.428,USD_PPP,Q,A
USA,United States,2022,81837.833,USD_PPP,Q,A
USA,United States,2021,84211.21,USD_PPP,Q,A
USA,United States,2020,82783.413,USD_PPP,Q,A
USA,United States,2019,78044.387,USD_PPP,Q,A
USA,United States,2018,76663.545,USD_PPP,Q,A
USA,United States,2017,75768.867,USD_PPP,Q,A
USA,United States,2016,74951.209,USD_PPP,Q,A
USA,United States,2015,74825.132,USD_PPP,Q,A
USA,United States,2014,72956.685,USD_PPP,Q,A
USA,United States,2013,71827.448,USD_PPP,Q,A
USA,United States,2012,72146.935,USD_PPP,Q,A
USA,United States,2011,71536.739,USD_PPP,Q,A
USA,United States,2010,71439.498,USD_PPP,Q,A
USA,United States,2009,70813.355,USD_PPP,Q,A
USA,United States,2008,70110.671,USD_PPP,Q,A
USA,United States,2007,70283.563,USD_PPP,Q,A
USA,United States,2006,68978.508,USD_PPP,Q,A
USA,United States,2005,67961.013,USD_PPP,Q,A
USA,United States,2004,67897.332,USD_PPP,Q,A
USA,United States,2003,66661.954,USD_PPP,Q,A
USA,United States,2002,65953.109,USD_PPP,Q,A
USA,United States,2001,65426.917,USD_PPP,Q,A
USA,United States,2000,64927.983,USD_PPP,Q,A
GBR,United Kingdom,2024,63690.773,USD_PPP,Q,A
GBR,United Kingdom,2023,62797.046,USD_PPP,Q,A
GBR,United Kingdom,2022,62476.54,USD_PPP,Q,A
GBR,United Kingdom,2021,63586.187,USD_PPP,Q,A
GBR,United Kingdom,2020,62432.983,USD_PPP,Q,A
GBR,United Kingdom,2019,63237.752,USD_PPP,Q,A
GBR,United Kingdom,2018,62515.19,USD_PPP,Q,A
GBR,United Kingdom,2017,62302.379,USD_PPP,Q,A
GBR,United Kingdom,2016,61886.804,USD_PPP,Q,A
GBR,United Kingdom,2015,61166.958,USD_PPP,Q,A
GBR,United Kingdom,2014,60339.735,USD_PPP,Q,A
GBR,United Kingdom,2013,60147.759,USD_PPP,Q,A
GBR,United Kingdom,2012,59635.157,USD_PPP,Q,A
GBR,United Kingdom,2011,60107.071,USD_PPP,Q,A
GBR,United Kingdom,2010,61224.207,USD_PPP,Q,A
GBR,United Kingdom,2009,60961.878,USD_PPP,Q,A
GBR,United Kingdom,2008,61138.752,USD_PPP,Q,A
GBR,United Kingdom,2007,62815.579,USD_PPP,Q,A
GBR,United Kingdom,2006,60350.978,USD_PPP,Q,A
GBR,United Kingdom,2005,59357.288,USD_PPP,Q,A
GBR,United Kingdom,2004,58770.982,USD_PPP,Q,A
GBR,United Kingdom,2003,57094.795,USD_PPP,Q,A
GBR,United Kingdom,2002,55339.732,USD_PPP,Q,A
GBR,United Kingdom,2001,54743.935,USD_PPP,Q,A
GBR,United Kingdom,2000,52593.342,USD_PPP,Q,A
TUR,Türkiye,2023,47252.567,USD_PPP,Q,A
TUR,Türkiye,2022,35675.551,USD_PPP,Q,A
TUR,Türkiye,2021,36232.508,USD_PPP,Q,A
TUR,Türkiye,2020,34948.959,USD_PPP,Q,A
TUR,Türkiye,2019,35161.578,USD_PPP,Q,A
TUR,Türkiye,2018,33061.616,USD_PPP,Q,A
TUR,Türkiye,2017,32475.343,USD_PPP,Q,A
TUR,Türkiye,2016,33097.871,USD_PPP,Q,A
TUR,Türkiye,2015,29471.369,USD_PPP,Q,A
TUR,Türkiye,2014,28746.408,USD_PPP,Q,A
TUR,Türkiye,2013,27798.209,USD_PPP,Q,A
TUR,Türkiye,2012,26574.876,USD_PPP,Q,A
TUR,Türkiye,2011,25543.945,USD_PPP,Q,A
TUR,Türkiye,2010,25137.487,USD_PPP,Q,A
TUR,Türkiye,2009,24527.374,USD_PPP,Q,A
TUR,Türkiye,2008,24252.388,USD_PPP,Q,A
TUR,Türkiye,2007,24392.658,USD_PPP,Q,A
TUR,Türkiye,2006,23581.01,USD_PPP,Q,A
TUR,Türkiye,2005,23452.568,USD_PPP,Q,A
TUR,Türkiye,2004,22601.419,USD_PPP,Q,A
TUR,Türkiye,2003,21198.72,USD_PPP,Q,A
TUR,Türkiye,2002,19962.522,USD_PPP,Q,A
TUR,Türkiye,2001,19695.201,USD_PPP,Q,A
TUR,Türkiye,2000,21455.859,USD_PPP,Q,A
MEX,Mexico,2024,20422.85,USD_PPP,Q,A
MEX,Mexico,2023,20835.526,USD_PPP,Q,A
MEX,Mexico,2022,20606.929,USD_PPP,Q,A
MEX,Mexico,2021,20366.145,USD_PPP,Q,A
MEX,Mexico,2020,19801.314,USD_PPP,Q,A
MEX,Mexico,2019,20570.182,USD_PPP,Q,A
MEX,Mexico,2018,20213.734,USD_PPP,Q,A
CAN,Canada,2024,69417.073,USD_PPP,Q,A
CAN,Canada,2023,69299.313,USD_PPP,Q,A
CAN,Canada,2022,69304.208,USD_PPP,Q,A
CAN,Canada,2021,70001.671,USD_PPP,Q,A
CAN,Canada,2020,69662.78,USD_PPP,Q,A
CAN,Canada,2019,67227.517,USD_PPP,Q,A
CAN,Canada,2018,66959.594,USD_PPP,Q,A
CAN,Canada,2017,65726.977,USD_PPP,Q,A
CAN,Canada,2016,64675.087,USD_PPP,Q,A
CAN,Canada,2015,65924.573,USD_PPP,Q,A
FRA,France,2003,52766.169,USD_PPP,Q,A
FRA,France,2002,52339.283,USD_PPP,Q,A
FRA,France,2001,50963.945,USD_PPP,Q,A
FRA,France,2000,50645.173,USD_PPP,Q,A
AUS,Australia,2007,64500.872,USD_PPP,Q,A
AUS,Australia,2006,62769.154,USD_PPP,Q,A
AUS,Australia,2005,62347.376,USD_PPP,Q,A
AUS,Australia,2004,61629.11,USD_PPP,Q,A
